"type","variance","bias","mse","gl"
"Gaussian",0.774188207999202,1.01351178476804,1.79984596944689,1
"Laplace",0.561171437637115,0.619627975539464,0.943987922832975,1
"Cauchy",0.0741453616082517,0.100724181475454,0.0841424316189354,1
"Pareto",0.0713436017271135,0.0947740798256711,0.0801830407304619,1
"NND",0.0961325424695345,-0.0170232836857367,0.0962300695720405,1
"SS",0.069542960985998,-0.101217299092438,0.0796488166995941,1
"Gaussian",0.168974324672304,0.24167982408805,0.22704551339419,2
"Laplace",0.0618170960244409,0.122103961357378,0.076602839211556,2
"Cauchy",0.0297351527193333,0.0634058860910791,0.0336959888048896,2
"Pareto",0.0317088891760372,0.0485548744364049,0.0340030472292202,2
"NND",0.058097953806319,-0.0116863651881485,0.0581183290300172,2
"SS",0.036150716768044,-0.0815109053209062,0.0427224430207416,2
"Gaussian",0.0567790619436768,0.102092522503215,0.0670883869708589,3
"Laplace",0.0298802767278538,0.0564177942460599,0.0330034836819888,3
"Cauchy",0.0227779652212422,0.0558453724992638,0.0258511149203813,3
"Pareto",0.023861316333831,0.0301404885816478,0.0247220427531038,3
"NND",0.0524735007554142,-0.0187141560619957,0.0527187733910161,3
"SS",0.0297974556703817,-0.0812514608589933,0.0363396606507615,3
"Gaussian",0.0307800767583555,0.0705510024268525,0.0356959605482726,4
"Laplace",0.0197970622266808,0.0485496715840699,0.0221145387131484,4
"Cauchy",0.0169384914258729,0.0676561182534776,0.0214819647801497,4
"Pareto",0.0173053070016886,0.035449850785569,0.0185273883084043,4
"NND",0.049137349506099,-0.00379691108903934,0.0490534913409049,4
"SS",0.0266189082211242,-0.0652010389356874,0.030816845882975,4
"Gaussian",0.0186763524134301,0.0482255791577958,0.0209647061937081,5
"Laplace",0.0156647842658845,0.0359635083663209,0.0169268286313672,5
"Cauchy",0.0148485639933915,0.0615646433521631,0.0186090721764838,5
"Pareto",0.0148715800647793,0.0273406848870525,0.0155893499547428,5
"NND",0.0455872434320649,-0.00695381449940319,0.0455444244812929,5
"SS",0.0226822630913166,-0.0675268596298923,0.0271967753366091,5
"Gaussian",0.012127726922904,0.0234925606240787,0.0126553718737342,10
"Laplace",0.0115090813044337,0.0227230545893292,0.0120024003516945,10
"Cauchy",0.0121914272307275,0.0602489031930182,0.0157969747122277,10
"Pareto",0.0115204064350533,0.0192355323724661,0.0118673713278354,10
"NND",0.0437354936817821,-0.0162056831379771,0.0439106468603871,10
"SS",0.0219143707986307,-0.070046418491755,0.0267770428005556,10
"Gaussian",0.0116807589805335,0.0206204279913964,0.0120825995131208,15
"Laplace",0.0113921718968548,0.0222363793719693,0.0118638441206353,15
"Cauchy",0.0119469708725463,0.0629267755473174,0.0158828560115837,15
"Pareto",0.0113758496298025,0.020271060849582,0.0117640138385104,15
"NND",0.0467261534911531,-0.00303117052169525,0.0466418891789024,15
"SS",0.0216635970945313,-0.0611803258102501,0.0253633021665905,15
"Gaussian",0.011005242831082,0.0226030431305232,0.0114941299041801,20
"Laplace",0.0109081825805165,0.027321795531064,0.0116328467263968,20
"Cauchy",0.0113296798293817,0.0715751631149865,0.0164300244446599,20
"Pareto",0.0109551683174109,0.0259510300160679,0.0116067139396709,20
"NND",0.0423942755583963,-0.00992190841638756,0.0424079312739027,20
"SS",0.0193947407009462,-0.0576563761297226,0.0226802089279563,20
"Gaussian",0.0105454781599454,0.0240214274534324,0.011101416180526,50
"Laplace",0.0106553970485465,0.0290427321041546,0.0114775665425231,50
"Cauchy",0.011455179953036,0.0739578901068916,0.016902039102193,50
"Pareto",0.0107465868626798,0.0276831938424976,0.0114914529102758,50
"NND",0.0485708996856239,-0.00319780860077713,0.0484839838660998,50
"SS",0.0223364212774737,-0.0536620939860041,0.0251713687658815,50
"Gaussian",0.00912294807366499,0.027801036031174,0.00987759978192429,100
"Laplace",0.0092580762374948,0.0337204936897493,0.0103766317797002,100
"Cauchy",0.0100486364343859,0.0804145548784711,0.0164950397978198,100
"Pareto",0.00930266765550062,0.0331985180884573,0.0103862039234592,100
"NND",0.0418822999730145,0.00546740034188671,0.0418284278395669,100
"SS",0.0190508319302395,-0.0464569886225266,0.0211709820582526,100
