"bloco","inicio","fim","entropia","alpha","beta","categoria_alpha","valor_bbas3"
1,2020-01-01,2020-01-30,0.807800050013847,74.3420885707501,17.205638885498,"light",15.6431636810303
2,2020-01-31,2020-02-29,0.769749571487747,78.1205041132515,18.9232349395752,"light",14.9541788101196
3,2020-03-01,2020-03-30,2.38643802736658,88.2414221143515,79.4891166687012,"light",9.0574836730957
4,2020-03-31,2020-04-29,0.854833147277974,1.86139497635643,0.160939087037992,"heavy",9.3461446762085
5,2020-04-30,2020-05-29,0.758938882765312,0.85293967077664,0.0219556847335593,"heavy",9.87535095214844
6,2020-05-30,2020-06-28,0.672386717375121,66.2128589285849,14.7216320037842,"light",10.2057065963745
7,2020-06-29,2020-07-28,0.276280106558466,73.6991387672049,10.7124805450439,"light",11.1967687606812
8,2020-07-29,2020-08-27,0.254301590847391,73.737594745971,11.6105365753174,"light",10.5492753982544
9,2020-08-28,2020-09-26,0.449919439423324,122.279919857986,11.9396591186523,"light",9.8820858001709
10,2020-09-27,2020-10-26,0.347775033783601,209.645173709239,13.1435108184814,"light",10.9355239868164
11,2020-10-27,2020-11-25,0.830182989038613,148.296429182146,19.062328338623,"light",11.6252498626709
12,2020-11-26,2020-12-25,0.837098081745929,151.768530562888,18.5337734222412,"light",12.8057041168213
13,2020-12-26,2021-01-24,1.02506693708304,90.55927516387,20.0706195831299,"light",11.0848951339722
14,2021-01-25,2021-02-23,0.146485535304792,1.51529931506483,0.0984612519697755,"heavy",9.48582553863525
15,2021-02-24,2021-03-25,0.179194512888158,191.015937855114,10.2896690368652,"light",9.78243827819824
16,2021-03-26,2021-04-24,-0.498059134963602,73.2211731983732,5.40487289428711,"light",10.0946445465088
17,2021-04-25,2021-05-24,0.511033378935719,101.574432235801,12.9917907714844,"light",11.1051168441772
18,2021-05-25,2021-06-23,0.543660882276832,88.791819559374,13.8705539703369,"light",11.5628299713135
19,2021-06-24,2021-07-23,-0.982850045699007,0.127908494040016,1e-06,"heavy",10.9138069152832
20,2021-07-24,2021-08-22,0.455054294281903,115.009481758248,12.1947956085205,"light",10.1486434936523
21,2021-08-23,2021-09-21,0.0122533267894985,3.43497051572691,0.153605751059294,"light",9.7376594543457
22,2021-09-22,2021-10-21,0.272036380629299,16.330135068069,1.75335358071628,"light",10.8505353927612
23,2021-10-22,2021-11-20,-0.152979696530978,77.7551459269855,7.96405792236328,"light",10.102822303772
24,2021-11-21,2026-03-31,2.72453443335936,177.190161948847,27.315049825913,"light",22.2424163818359
