"type","variance","bias","mse","alpha.s"
"Gaussian",0.643039920982604,3.15776732154496,10.6132482981578,0.5
"Laplace",0.812750108009633,3.51193241793525,13.1447939159382,0.5
"Cauchy",0.0735708182776973,1.49514255366203,2.30887493241214,0.5
"Pareto",0.0571618090639206,1.30928771986788,1.77128181884262,0.5
"NND",0.0680467172806522,1.12321369396638,1.3295196261597,0.5
"SS",0.0569803449171851,1.07309808263829,1.20840587918933,0.5
"Gaussian",0.484225903780675,2.0797452621132,4.80859780725541,0.75
"Laplace",0.658657880845688,1.77986684495028,3.82526655083727,0.75
"Cauchy",0.0351928362572516,0.526343381658884,0.312159806000847,0.75
"Pareto",0.0307686457931427,0.49341324454794,0.274163738396882,0.75
"NND",0.0392605101942758,0.377264425268388,0.181510435746974,0.75
"SS",0.0302282409608037,0.339338813437969,0.145318614784371,0.75
"Gaussian",0.574237992773987,1.41659751340414,2.57983803177124,1
"Laplace",0.360825347619845,0.850943675718473,1.08420883616987,1
"Cauchy",0.0175507674617812,0.215107508022774,0.0637869059346254,1
"Pareto",0.0167954224116074,0.213322192673384,0.0622681894537646,1
"NND",0.0232984942204659,0.14381120592416,0.0439335601813861,1
"SS",0.0168577503053357,0.10548863509811,0.0279518869395872,1
"Gaussian",0.533461406503663,0.860694630147223,1.27318973005492,1.25
"Laplace",0.151980489798831,0.396746192836611,0.309084070349578,1.25
"Cauchy",0.0120196407945039,0.0900256686595257,0.0201002225305095,1.25
"Pareto",0.0122347753165124,0.0913176693854965,0.0205492225078782,1.25
"NND",0.0208234967391118,0.0309819751171136,0.021741732527791,1.25
"SS",0.0139561901342558,0.00198191119639766,0.0139322057259777,1.25
"Gaussian",0.223343815594027,0.419265288134055,0.398680509796971,1.5
"Laplace",0.0555316231234193,0.17965130123479,0.0876951499125256,1.5
"Cauchy",0.00827467579255738,0.0516462786466286,0.0109254645390175,1.5
"Pareto",0.00866402672200055,0.0487602640179589,0.0110242620156576,1.5
"NND",0.0181011964086773,0.00712769277396621,0.01811579802014,1.5
"SS",0.0104122662159225,-0.0215002942223562,0.0108537043351385,1.5
"Gaussian",0.0976510183577914,0.205114496677001,0.139527673068135,1.75
"Laplace",0.0166476386415998,0.0843752177086652,0.0237335207277012,1.75
"Cauchy",0.00599241825749203,0.0412298524839197,0.00768033415682283,1.75
"Pareto",0.00640130865845185,0.0309912324171745,0.00734896252787027,1.75
"NND",0.018575784509462,0.00070109819282794,0.018539124479119,1.75
"SS",0.00967805403016556,-0.0255053878125471,0.0103092227295737,1.75
"Gaussian",0.00241956957765624,0.012270301187769,0.00256529072973949,2
"Laplace",0.00242640832442891,0.0139814505584568,0.00261703646749862,2
"Cauchy",0.00258130209078709,0.0427455692047715,0.00440332317324543,2
"Pareto",0.00243721408993072,0.0136909006264899,0.00261978042171528,2
"NND",0.0141022086026181,-0.00451710549938963,0.0140944084275055,2
"SS",0.00588455397927879,-0.0227036384409597,0.00638824006977805,2
