"type","variance","bias","mse","alpha.s"
"Gaussian",1.83641159114212,3.21749685800553,12.1850247992353,0.5
"Laplace",2.91508422146229,3.6923376730219,16.5426115446362,0.5
"Cauchy",0.251763622470225,1.57638213487606,2.73624073038168,0.5
"Pareto",0.187006176076839,1.3705888501394,2.06514595985114,0.5
"NND",0.196962575255752,1.1202123671002,1.45144439750947,0.5
"SS",0.17053064629705,1.0052715957025,1.18076056613071,0.5
"Gaussian",0.92910885470071,1.89250892790895,4.50884067920637,0.75
"Laplace",1.40532489098641,1.63068517557123,4.06164838303222,0.75
"Cauchy",0.112067860897386,0.571920560284867,0.438936852452147,0.75
"Pareto",0.0974590677225945,0.53346892250538,0.3818532408662,0.75
"NND",0.113253990777284,0.376671115592057,0.254908612117094,0.75
"SS",0.0893538485338474,0.278191954888758,0.166565904601609,0.75
"Gaussian",0.783119745678708,1.1210201968741,2.038239787987,1
"Laplace",0.469643980092222,0.687259265888945,0.941029990682249,1
"Cauchy",0.0749782684584157,0.224443192956805,0.125203058786144,1
"Pareto",0.0731924072101317,0.219120332195888,0.121059742377348,1
"NND",0.0997045010658643,0.109737157883401,0.111547335884059,1
"SS",0.07236784914242,0.0261225315113732,0.0729055000966979,1
"Gaussian",0.620638082208248,0.658636505246851,1.05319885208762,1.25
"Laplace",0.268510444951421,0.360148944546746,0.397680686319653,1.25
"Cauchy",0.0420969908583228,0.108830188267675,0.0538568067549837,1.25
"Pareto",0.0437179797488043,0.103432981581965,0.0543289254682418,1.25
"NND",0.0716919262010394,0.0281872534857059,0.0723430636077047,1.25
"SS",0.0461708893026181,-0.050773240306625,0.0486564694552471,1.25
"Gaussian",0.299680189423012,0.357103240314925,0.426603553287584,1.5
"Laplace",0.147902331486744,0.190824881945474,0.184020662393275,1.5
"Cauchy",0.0281061917256521,0.0786173314058319,0.0342306641395752,1.5
"Pareto",0.0304163636005298,0.0644063707490916,0.0345037114663982,1.5
"NND",0.0580319753056349,0.000189166947124674,0.0579159471391575,1.5
"SS",0.0345584004842353,-0.0705365484785178,0.0394646883545291,1.5
"Gaussian",0.10962334809517,0.15490047677478,0.133398259104034,1.75
"Laplace",0.0378265882151772,0.08190344157353,0.0444591087803355,1.75
"Cauchy",0.0184025550328163,0.0678150241285158,0.0229646274203019,1.75
"Pareto",0.0205175349595292,0.0409356258030347,0.0221522253494962,1.75
"NND",0.0505460493336526,-0.00656372676528745,0.0504880397440346,1.75
"SS",0.0262113852000229,-0.0659873177933216,0.0305132885391796,1.75
"Gaussian",0.00825614015886397,0.0228439356667291,0.0087614732752919,2
"Laplace",0.00832973012813431,0.0283767603126372,0.0091183111937189,2
"Cauchy",0.00904258430352273,0.0740695828018935,0.0145108022313622,2
"Pareto",0.00837950734807622,0.0274971503779462,0.00911884161228745,2
"NND",0.0444821270129998,0.00795151360658788,0.0444563893276095,2
"SS",0.0191856043936083,-0.0487898745720541,0.0215276850455778,2
