"type","variance","bias","mse","alpha.s"
"Gaussian",0.353141548306146,3.1413075746884,10.2202485440043,0.5
"Laplace",0.418314026947704,3.37086462618396,11.7802057269521,0.5
"Cauchy",0.0295415501909295,1.45085752405999,2.13447002221204,0.5
"Pareto",0.0220020610224905,1.28133939315972,1.66378869736337,0.5
"NND",0.0229306921239248,1.13493342490806,1.31095870971321,0.5
"SS",0.0205154946712379,1.1088259361886,1.24996942044642,0.5
"Gaussian",0.249100805304712,2.03565604083925,4.39249812029943,0.75
"Laplace",0.375482077447033,1.78440708241383,3.55883974906078,0.75
"Cauchy",0.0133866840921561,0.498564517697613,0.261926489031025,0.75
"Pareto",0.0119773895673396,0.470280984991628,0.233117639632901,0.75
"NND",0.0163415082299928,0.387602237104372,0.166544319421847,0.75
"SS",0.0126951339816655,0.366507094939799,0.146997194354913,0.75
"Gaussian",0.397553097422115,1.41339290589693,2.39443749766704,1
"Laplace",0.25754350529794,0.843145392562783,0.967922571287194,1
"Cauchy",0.00757809905119029,0.192148464743475,0.0444839753563623,1
"Pareto",0.00728788758572931,0.190846998836167,0.0436958887753297,1
"NND",0.0105240621053948,0.136616784643175,0.0291671598274236,1
"SS",0.00767738443018839,0.119025342545602,0.021829061829426,1
"Gaussian",0.370449540595357,0.8411074657524,1.07717041045859,1.25
"Laplace",0.0927244438332806,0.368540765660861,0.228361290899508,1.25
"Cauchy",0.00503118986772601,0.0816574912916823,0.0116890733720417,1.25
"Pareto",0.00505615246380635,0.0836830714141635,0.0120488966001867,1.25
"NND",0.00873110449798504,0.0433748088366651,0.0105950163306063,1.25
"SS",0.00571678815024705,0.0284996104157025,0.00651758236779337,1.25
"Gaussian",0.248180711432587,0.500292333982583,0.497976769451463,1.5
"Laplace",0.0358231604072222,0.172880885047461,0.0656393145012013,1.5
"Cauchy",0.00324876952823746,0.0401522145181982,0.00485447231989639,1.5
"Pareto",0.00335937108578667,0.0399118244039178,0.00494560607086426,1.5
"NND",0.00692092443143939,0.0127187348858958,0.00706884879967421,1.5
"SS",0.00404339006861208,-0.00231260329531964,0.00404065142247638,1.5
"Gaussian",0.117397211890288,0.216769330209951,0.164151359986179,1.75
"Laplace",0.0124043600837451,0.076386258893539,0.0182144119113284,1.75
"Cauchy",0.00252319260765103,0.0273184874190879,0.00326444597730259,1.75
"Pareto",0.00267546385162918,0.0219165155229302,0.00315044657659276,1.75
"NND",0.00623653643806921,0.00850208961964893,0.00629634889309362,1.75
"SS",0.0036289277377092,-0.00692016010128016,0.00366955849806113,1.75
"Gaussian",0.00105644397645998,0.00637375546907487,0.00109495584728663,2
"Laplace",0.00105689406864947,0.00726055608808488,0.00110749595522039,2
"Cauchy",0.00108148508202527,0.0268746168630632,0.00180156714339766,2
"Pareto",0.00106254784460577,0.00723336605590299,0.00111274433341525,2
"NND",0.00564382956298398,-0.00174686920952389,0.00563559345589319,2
"SS",0.00245999874140175,-0.0113985844658326,0.00258500647174367,2
