"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.05141517001006,341.873813906944,6.9032134664493,"light",0
2,0.01,0.5,-1.05014345538189,245.879280952157,5.04940875230491,"light",0
3,0.02,0.51,-1.04677630275605,266.132847306362,5.55270759396688,"light",0
4,0.03,0.52,-1.04835692795631,298.703098610607,6.34295540666805,"light",0
5,0.04,0.53,-1.03994490243056,344.943268230824,7.42126363231325,"light",0
6,0.05,0.54,-1.03464631042325,319.107865945508,6.59468045937916,"light",0
7,0.06,0.55,-0.993006580104363,281.869364196296,6.61687376755151,"light",0
8,0.07,0.56,-0.977696743486992,324.708565655135,7.08677055582786,"light",0
9,0.08,0.57,-0.932805308677127,286.125704676558,7.41365930332416,"light",0
10,0.09,0.58,-0.895274881093627,262.154266510139,7.05353959259661,"light",0
11,0.1,0.59,-0.892437852078751,277.249275562665,6.76849500933882,"light",0
12,0.11,0.6,-0.898578800361559,265.701068406139,6.17982478309358,"light",0
13,0.12,0.61,-0.903194816775909,304.256045654684,7.74225751163299,"light",0
14,0.13,0.62,-0.810543973186489,7.63432604399877,0.22522010315706,"light",0
15,0.14,0.63,-0.645690954686659,1.66610730193885,0.0402551619293383,"heavy",0
16,0.15,0.64,-0.551491753682795,1.43558710460862,0.037319885427985,"heavy",0
17,0.16,0.65,-0.466654999367477,1.34153658205301,0.040708110776454,"heavy",0
18,0.17,0.66,-0.469344579614783,1.43242152662201,0.0394300838955414,"heavy",0
19,0.18,0.67,-0.46968616642305,1.42554378281123,0.0396544281601463,"heavy",52
20,0.19,0.68,-0.481805178887311,1.309642524849,0.0320963801664139,"heavy",0
21,0.2,0.69,-0.513183776110974,1.25420952289158,0.0277578367548488,"heavy",0
22,0.21,0.7,-0.558592110537025,1.18801993565116,0.0222006452360597,"heavy",0
23,0.22,0.71,-0.615960361197144,1.1183320740925,0.0172805650018269,"heavy",0
24,0.23,0.72,-0.667276354951055,1.07509063285752,0.0142521390960832,"heavy",0
25,0.24,0.73,-0.680268445186312,1.11007287699779,0.0156495994042731,"heavy",0
26,0.25,0.74,-0.681735582826315,1.11677286667893,0.0160332278854754,"heavy",0
27,0.26,0.75,-0.69031996684937,1.12802428863425,0.0166130361102125,"heavy",0
28,0.27,0.76,-0.712916540736504,1.11121077607571,0.0157970285863028,"heavy",0
29,0.28,0.77,-0.722915159331086,1.09325904285838,0.0151385254405856,"heavy",0
30,0.29,0.78,-0.728013365220467,1.09890515366685,0.0152763630275932,"heavy",0
31,0.3,0.79,-0.729896480802084,1.0910039800244,0.0149406430308146,"heavy",0
32,0.31,0.8,-0.720742528201937,1.07880888533865,0.0144944229610498,"heavy",0
33,0.32,0.81,-0.69199661353985,1.03529489503014,0.0129254448670827,"heavy",0
34,0.33,0.82,-0.637704983954047,1.0617916961903,0.0151488928650028,"heavy",0
35,0.34,0.83,-0.578090519546108,1.08865175537574,0.0177988163491786,"heavy",0
36,0.35,0.84,-0.515904345844918,1.09777468473777,0.0196989217895949,"heavy",0
37,0.36,0.85,-0.467714777694445,1.08173197702804,0.0189594018747636,"heavy",0
38,0.37,0.86,-0.435342193094022,1.05771658597837,0.0171192392359666,"heavy",0
39,0.38,0.87,-0.410711858384061,1.03656784357448,0.0158577725718906,"heavy",0
40,0.39,0.88,-0.379533744288552,1.06671186979559,0.0175200617501676,"heavy",52
41,0.4,0.89,-0.360909863961268,1.08605138058739,0.018621789646431,"heavy",0
42,0.41,0.9,-0.358286341939855,1.12439533882419,0.0205815462689041,"heavy",0
43,0.42,0.91,-0.369535177633414,1.09469801569684,0.019055858874971,"heavy",0
44,0.43,0.92,-0.374199824511292,1.13158782772533,0.0207956983061661,"heavy",0
45,0.44,0.93,-0.369918513105612,1.04801397721673,0.0166597764570679,"heavy",0
46,0.45,0.94,-0.369109308440256,0.971933952728633,0.0131286527609014,"heavy",0
47,0.46,0.95,-0.348412009695339,1.00402221736085,0.0145590117065059,"heavy",0
48,0.47,0.96,-0.286915830288813,1.14805346764719,0.0228782798766576,"heavy",0
49,0.48,0.97,-0.276685163667305,0.90698077056598,0.011060684581148,"heavy",0
50,0.49,0.98,-0.253449132098956,0.958146664224324,0.0133246659312465,"heavy",0
51,0.5,0.99,-0.23304597763839,0.68515742862672,0.00769085153876606,"heavy",0
52,0.51,1,-0.246198691460145,0.968703594829197,0.0134164084416793,"heavy",0
53,0.52,1.01,-0.274639073325579,0.878029353819403,0.00934689625427012,"heavy",0
54,0.53,1.02,-0.286646121176317,0.861016591427522,0.00858446754663072,"heavy",0
55,0.54,1.03,-0.315271088951448,0.83332011842107,0.00730554372283559,"heavy",0
56,0.55,1.04,-0.388872745459649,0.0814027686222673,1e-08,"heavy",0
57,0.56,1.05,-0.34846699889357,0.871095515925756,0.00388953058826204,"heavy",0
58,0.57,1.06,-0.393853431535819,0.818147317049627,0.00699592658729551,"heavy",52
59,0.58,1.07,-0.390262270190714,0.653622797115774,0.00418580443989138,"heavy",0
60,0.59,1.08,-0.418076818768729,0.856552252114361,0.00793796479936628,"heavy",0
61,0.6,1.09,-0.424225906136815,0.843301723731955,0.00762099819285712,"heavy",0
62,0.61,1.1,-0.413665169615548,0.915063743733146,0.0100993637116719,"heavy",0
63,0.62,1.11,-0.425747901779488,0.911331779410585,0.010271569090686,"heavy",0
64,0.63,1.12,-0.547718016103203,1.01488181493141,0.0107276360094781,"heavy",0
65,0.64,1.13,-0.720400445874779,1.31565394472919,0.0137859344681665,"heavy",0
66,0.65,1.14,-0.930610371970999,12.6849268416028,0.171648148636445,"light",0
67,0.66,1.15,-0.982028423578916,1.39040836083866,0.0119992835971722,"heavy",0
68,0.67,1.16,-1.16616838162979,3.29361379981706,0.0309416574366708,"light",0
69,0.68,1.17,-1.16414703411563,3.29396891431402,0.030980448366017,"light",0
70,0.69,1.18,-1.14966529724228,3.51901721184307,0.0339963359500369,"light",0
71,0.7,1.19,-1.09400100254959,2.4201101497996,0.0244662976521171,"light",0
72,0.71,1.2,-1.04077947637802,1.72643158082046,0.0162601773265668,"heavy",0
73,0.72,1.21,-1.03674719209539,1.99519303175126,0.0182372845054361,"heavy",0
74,0.73,1.22,-1.04626481382999,1.98258897498336,0.0174469148263953,"heavy",0
75,0.74,1.23,-1.02538620719565,1.89314060123263,0.0163230086668991,"heavy",0
76,0.75,1.24,-1.00058737861635,2.1469707572403,0.0199361145292392,"light",0
77,0.76,1.25,-0.989789141028038,2.18114224973616,0.0202179180401349,"light",0
78,0.77,1.26,-0.990786535028863,2.06141433871041,0.018169867789088,"light",0
79,0.78,1.27,-2.14685976764999,0.0958847152473166,1e-08,"heavy",0
80,0.79,1.28,-0.914907269142402,3.10806047245153,0.0367717556319227,"light",0
81,0.8,1.29,-1.16776090446092,0.0328324213711015,1e-08,"heavy",0
82,0.81,1.3,-1.45114379567779,0.0886919662365454,1e-08,"heavy",0
83,0.82,1.31,-0.613387709105069,1.13464998246099,0.0156147556201255,"heavy",0
84,0.83,1.32,-1.36850391290187,0.0878930348746259,1e-08,"heavy",0
85,0.84,1.33,-1.32315707352789,0.0874308607532025,1e-08,"heavy",0
86,0.85,1.34,-0.444247992644379,0.818851912293277,0.0107086921398635,"heavy",0
87,0.86,1.35,-1.36001148164332,0.0875652125332465,1e-08,"heavy",0
88,0.87,1.36,-0.453634538962849,0.83379692897254,0.0127426586722015,"heavy",0
89,0.88,1.37,-0.501380175936231,0.766473438115982,0.00963114796402628,"heavy",0
90,0.89,1.38,-0.573838539936016,0.667232265991025,0.00575524243892457,"heavy",0
91,0.9,1.39,-2.05848080412248,0.0940280876021557,1e-08,"heavy",0
92,0.91,1.4,-2.12191187042986,0.094718332346316,1e-08,"heavy",0
93,0.92,1.41,-2.1571727546609,0.0949844238618484,1e-08,"heavy",0
94,0.93,1.42,-2.69350585559483,0.100813539642021,1e-08,"heavy",0
95,0.94,1.43,-3.0299288698921,0.104171692474009,1e-08,"heavy",0
96,0.95,1.44,-3.05336103758491,0.104411034549934,1e-08,"heavy",0
97,0.96,1.45,-3.01305449745452,0.103900616410828,1e-08,"heavy",0
98,0.97,1.46,-2.48938118936164,0.0978373461309462,1e-08,"heavy",0
99,0.98,1.47,-2.44114705181754,0.0974055500188075,1e-08,"heavy",0
