"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.72919196098763,1.96861373361305,0.0128586909893058,"heavy",0
2,0.01,0.5,-1.75834389745513,2.66371572975864,0.0161780987938481,"light",0
3,0.02,0.51,-1.72719162729492,2.43719720268585,0.0155238183808824,"light",0
4,0.03,0.52,-1.76866517574318,2.32169364425418,0.0138463860860755,"light",0
5,0.04,0.53,-4.48748282754986,0.120605542993269,1e-08,"heavy",0
6,0.05,0.54,-1.90068970940169,1.94749274961293,0.00946832599282458,"heavy",0
7,0.06,0.55,-4.99751473844321,0.129560365941517,1e-08,"heavy",0
8,0.07,0.56,-1.96567714747234,5.23426165868349,0.0302059928848954,"light",0
9,0.08,0.57,-5.05531791422222,0.131110040113661,1e-08,"heavy",0
10,0.09,0.58,-2.00699902380138,1.49163004631762,0.00492116088983518,"heavy",0
11,0.1,0.59,-5.07831192043791,0.131612455860565,1e-08,"heavy",0
12,0.11,0.6,-5.02443341170758,0.130726756410397,1e-08,"heavy",0
13,0.12,0.61,-5.50355628669257,0.140748561426021,1e-08,"heavy",0
14,0.13,0.62,-5.00440794025214,0.130976019435753,1e-08,"heavy",0
15,0.14,0.63,-4.40938692483255,0.120546083741021,1e-08,"heavy",0
16,0.15,0.64,-4.32978067392383,0.119602481261375,1e-08,"heavy",0
17,0.16,0.65,-4.61344150373649,0.123489252271509,1e-08,"heavy",0
18,0.17,0.66,-4.24974321927156,0.118439779488961,1e-08,"heavy",0
19,0.18,0.67,-3.91242645608146,0.114023489250933,1e-08,"heavy",0
20,0.19,0.68,-3.6010901393892,0.110182860362239,1e-08,"heavy",0
21,0.2,0.69,-3.57532331544444,0.109839194547059,9.99999999473644e-09,"heavy",0
22,0.21,0.7,-3.60320361478652,0.110149260187097,1e-08,"heavy",0
23,0.22,0.71,-1.32144637138102,0.71582457347179,0.00320468263906308,"heavy",0
24,0.23,0.72,-3.64965261497051,0.110677018785819,1e-08,"heavy",0
25,0.24,0.73,-3.3929224947948,0.107728607089813,1e-08,"heavy",0
26,0.25,0.74,-3.40711066505572,0.107924503224929,1e-08,"heavy",0
27,0.26,0.75,-3.37830889389029,0.107613080542156,1e-08,"heavy",0
28,0.27,0.76,-2.89827189051705,0.101570908873399,1e-08,"heavy",0
29,0.28,0.77,-2.42466787839336,0.0962456966979381,1e-08,"heavy",0
30,0.29,0.78,-1.94365339221157,0.0913133108166651,1e-08,"heavy",0
31,0.3,0.79,-1.13111656909898,0.939518986528591,0.00812088370421468,"heavy",0
32,0.31,0.8,-1.1065043986417,0.901327820315916,0.00724123972747809,"heavy",52
