"type","variance","bias","mse","gl"
"Gaussian",0.42763765077116,1.3039539020941,2.12707815425604,1
"Laplace",0.276172201631359,0.714293503529675,0.785835066412794,1
"Cauchy",0.00731388369321668,0.0546727134364516,0.0102883615203346,1
"Pareto",0.00707540013989276,0.053090487811627,0.00987984923568949,1
"NND",0.0104518592670875,-0.000247170551434005,0.0104310166418349,1
"SS",0.00747383172564185,-0.0186878889156466,0.00780812125431412,1
"Gaussian",0.118674795430262,0.28567905744677,0.200049969703077,2
"Laplace",0.0109252640083202,0.0933215052385848,0.0196123168202987,2
"Cauchy",0.00335451343524632,0.0241050145943114,0.00392885613696779,2
"Pareto",0.00344156471207082,0.0222696657633907,0.00393061959585981,2
"NND",0.00749512513907603,-0.00729752607004445,0.00753338877554086,2
"SS",0.00429890076805866,-0.0190735353582626,0.00465410271758544,2
"Gaussian",0.0209225633272725,0.0859912727761921,0.0282752171942875,3
"Laplace",0.00312263579895123,0.0360760337021278,0.00441787073503039,3
"Cauchy",0.00202572493149477,0.0228302152879715,0.00254289221172691,3
"Pareto",0.00206973604642818,0.0156607517040846,0.00231085571827231,3
"NND",0.00558912562384052,0.00272678734778113,0.00558538274183286,3
"SS",0.00311937204538508,-0.0123554560322365,0.00326579059505884,3
"Gaussian",0.00422901281348924,0.0387036524558439,0.00571852750128501,4
"Laplace",0.00225159648563732,0.021361016778854,0.00270338633049253,4
"Cauchy",0.00190918335710624,0.0233923355815828,0.00245256635435342,4
"Pareto",0.00194706234239111,0.012766469800287,0.00210615096886797,4
"NND",0.00579535378101703,-0.00431967916574922,0.00580242270155,4
"SS",0.00299797361186032,-0.0152061545348648,0.00322320480037479,4
"Gaussian",0.00275812059116931,0.0277158601062589,0.00352077325141669,5
"Laplace",0.00186236428493581,0.0177506673790868,0.00217372574876891,5
"Cauchy",0.00171388419913985,0.0246956891321371,0.00232033349245273,5
"Pareto",0.00175549424166557,0.0124600771868399,0.00190723677668425,5
"NND",0.00609861961977918,-0.00127510570412947,0.00608804827509633,5
"SS",0.00301911379301103,-0.0116497908340076,0.00314879319190114,5
"Gaussian",0.00145272716700035,0.0119425242394802,0.00159244559787692,10
"Laplace",0.00135842905941996,0.0106574130459545,0.0014692926541332,10
"Cauchy",0.00135706806561338,0.0261727687290538,0.00203936775242668,10
"Pareto",0.00133741828149537,0.00958609919116659,0.00142663674263526,10
"NND",0.00547258730835076,0.00262820541375054,0.00546854959743093,10
"SS",0.00253355283174368,-0.00888968442496648,0.00260751221525569,10
"Gaussian",0.00130500289722493,0.0114115514036724,0.00143261639686913,15
"Laplace",0.00130037546347737,0.0109382479288315,0.001417419980303,15
"Cauchy",0.00136406757059792,0.0282660052837154,0.00216030649015575,15
"Pareto",0.00130477049486376,0.0103300772701263,0.00140887145028081,15
"NND",0.00511996988077664,0.00501922009809707,0.00513492251140823,15
"SS",0.00255341995456663,-0.00741886667971457,0.00260335269746888,15
"Gaussian",0.00121431548980679,0.00795903013993995,0.00127523301959564,20
"Laplace",0.00118005591489196,0.0079859370597569,0.00124147099378458,20
"Cauchy",0.00120056013148266,0.0259827783432583,0.00187326378165459,20
"Pareto",0.00117943207503626,0.0076758051718422,0.00123599119592226,20
"NND",0.00548717354982817,-0.000585985160909806,0.00547654258133733,20
"SS",0.00242456947935285,-0.0108387810461173,0.00253719951495981,20
"Gaussian",0.00096872373650452,0.0072325375657884,0.00101909588867205,50
"Laplace",0.000969388063628072,0.00796317923644218,0.00103086151105252,50
"Cauchy",0.00100761180920082,0.0274234129621428,0.00175764016407464,50
"Pareto",0.000969511547255447,0.00783464003729537,0.00102895410867493,50
"NND",0.00537145372069078,0.00145771473369624,0.00536283574549424,50
"SS",0.00241607325323331,-0.00894299630085828,0.00249121828956401,50
"Gaussian",0.00112002911402002,0.00460012216647619,0.00113895017973848,100
"Laplace",0.00110577384258551,0.00516764693637703,0.00113026686975939,100
"Cauchy",0.00112445328169641,0.0241515142618432,0.00170550001627303,100
"Pareto",0.00110493854106077,0.00500400651901433,0.00112776874522099,100
"NND",0.00500043630233049,-0.00375482690357906,0.00500453415480167,100
"SS",0.00226446257057027,-0.012317467407715,0.00241165364876925,100
