"type","variance","bias","mse","gl"
"Gaussian",0.968292283701773,1.1041332722703,2.1854659820687,1
"Laplace",0.518328410055736,0.636413654933115,0.92231409342095,1
"Cauchy",0.067040762048193,0.108920234346259,0.0787702979741407,1
"Pareto",0.0650605894051358,0.102256012390241,0.0753867602962787,1
"NND",0.0845357730822682,-0.0141165810072806,0.0845659793954388,1
"SS",0.0612184678968816,-0.0970915289752838,0.0705227959598462,1
"Gaussian",0.155262773981545,0.232221342749468,0.208879000461948,2
"Laplace",0.059451756981715,0.111551666528661,0.0717766277730733,2
"Cauchy",0.0303030860313294,0.0544153880220956,0.0332035143128619,2
"Pareto",0.0320645250141144,0.0397368378491283,0.033579412246334,2
"NND",0.0604775681216436,-0.0351756014803808,0.0615939359249069,2
"SS",0.0368932034017277,-0.0965660973325578,0.0461444281489653,2
"Gaussian",0.0486994495732217,0.110235923955078,0.0607540096043051,3
"Laplace",0.0282349235144262,0.0653298384000676,0.0324464414527763,3
"Cauchy",0.0220726990883501,0.0651337854439298,0.0262709636964292,3
"Pareto",0.0230006150725781,0.0392354251977097,0.024494032432878,3
"NND",0.0568670794004637,-0.00772422410886257,0.0568130088797467,3
"SS",0.0316946600423708,-0.0700729438183181,0.0365414881776512,3
"Gaussian",0.0283736667116632,0.0650527499080553,0.0325487796488399,4
"Laplace",0.0191842328842004,0.0431771253645009,0.0210101285731738,4
"Cauchy",0.0174731319438208,0.0616823604359906,0.0212428992688886,4
"Pareto",0.0176134563147881,0.0300199791254228,0.0184794285488494,4
"NND",0.0521593509118256,-0.00345372695382495,0.0520669604398735,4
"SS",0.0271152260469599,-0.0667178665309261,0.0315122693093045,4
"Gaussian",0.0205845210992479,0.0494305773196442,0.0229867340312027,5
"Laplace",0.0167156698921202,0.0384881531555535,0.0181635764856613,5
"Cauchy",0.0155263229807826,0.0666233113837739,0.0199339359545603,5
"Pareto",0.0159725694156408,0.0306256843039584,0.0168785568158953,5
"NND",0.0470333136707689,0.00558694717162034,0.0469704610221259,5
"SS",0.0231403962231682,-0.0579402491467374,0.0264511879019078,5
"Gaussian",0.0121884806997691,0.0193887272771336,0.0125400264837966,10
"Laplace",0.0117126384448041,0.0205701233710645,0.0121123431434154,10
"Cauchy",0.0121671351757864,0.0600537502382142,0.0157492538231086,10
"Pareto",0.0118068717899644,0.0180892094698418,0.0121104775456283,10
"NND",0.0487770026487309,-0.00780350515935389,0.0487403433362055,10
"SS",0.0215648962427782,-0.0633736778646341,0.0255379894963831,10
"Gaussian",0.010622607832262,0.0329668107921339,0.0116881732304018,15
"Laplace",0.0105446392876032,0.0351793991992249,0.0117611401370465,15
"Cauchy",0.0112087891700911,0.0769155785203157,0.0171023778108658,15
"Pareto",0.0105616995218435,0.0334441193758703,0.0116590852436273,15
"NND",0.0403611551255858,0.0124346121563683,0.0404350523948139,15
"SS",0.0195761215156455,-0.0464794174344898,0.0216973055176638,15
"Gaussian",0.0110101047504622,0.0336671313354237,0.012121560273318,20
"Laplace",0.0109810589073542,0.0376558267404352,0.0123770580770452,20
"Cauchy",0.0115999766165715,0.0809853115010137,0.0181353973422546,20
"Pareto",0.0109907275042988,0.0363874555980225,0.0122927929741883,20
"NND",0.053385885776928,0.016574098144918,0.0535538147346915,20
"SS",0.0235420190871658,-0.0415113566460235,0.0252181277795849,20
"Gaussian",0.0093995520430261,0.0197485421305889,0.0097707578552237,50
"Laplace",0.00946706015420354,0.0242407952390983,0.010035742187719,50
"Cauchy",0.0102249914474094,0.0681586516164677,0.0148501432546896,50
"Pareto",0.00952842071584798,0.0230245588948936,0.0100394941867207,50
"NND",0.0470273887823391,-0.0106864188301283,0.0470475335521873,50
"SS",0.0208548974098934,-0.0598365911918589,0.0243936052605353,50
"Gaussian",0.00805178628143604,0.027493680146344,0.00879158515686264,100
"Laplace",0.00820801436963098,0.0321647790383163,0.00922617135147543,100
"Cauchy",0.00920635457525678,0.0760801326622556,0.0149761284520127,100
"Pareto",0.00839753780353156,0.0308818590320534,0.00933443194520011,100
"NND",0.0424664714283993,-0.0057297929424586,0.042414369012706,100
"SS",0.0185180403501469,-0.0541486910901118,0.0214130850162189,100
